model_name,brand,price,battery_mah,screen_size,camera_mp,processor
OnePlus 11,OnePlus,$699.00,5000,"6.7""",50,Snapdragon 8 Gen 2
Xiaomi 16 Ultra,Xiaomi,"$1,499.00",5500,"6.73""",50,Snapdragon 8 Elite Gen 2
Xiaomi 16,Xiaomi,"$1,099.00",5000,"6.36""",50,Snapdragon 8 Elite Gen 2
Xiaomi 15 Ultra,Xiaomi,"$1,499.00",5300,"6.73""",50,Snapdragon 8 Elite
Xiaomi 15,Xiaomi,"$1,099.00",4800,"6.36""",50,Snapdragon 8 Elite
Xiaomi 14 Ultra,Xiaomi,"$1,499.00",5000,"6.73""",50,Snapdragon 8 Gen 3
Xiaomi 14,Xiaomi,"$1,099.00",4610,"6.36""",50,Snapdragon 8 Gen 3
Nothing Phone (3),Nothing,$599.00,5000,"6.7""",50,Snapdragon 8s Gen 4
Nothing Phone (2),Nothing,$599.00,4700,"6.7""",50,Snapdragon 8+ Gen 1
Nothing Phone (2a),Nothing,$349.00,5000,"6.7""",50,Dimensity 7200 Pro
Vivo X200 Pro,Vivo,"$1,000.00",5500,"6.78""",200,Dimensity 9400
Vivo X100 Ultra,Vivo,"$1,100.00",5500,"6.78""",50,Snapdragon 8 Gen 3
Oppo Find X8 Ultra,Oppo,"$1,100.00",5500,"6.82""",50,Snapdragon 8 Elite
Oppo Find X7 Ultra,Oppo,$840.00,5000,"6.82""",50,Snapdragon 8 Gen 3
Realme GT 7 Pro,Realme,$600.00,6500,"6.78""",50,Snapdragon 8 Elite
Realme GT 5 Pro,Realme,$470.00,5400,"6.78""",50,Snapdragon 8 Gen 3
Redmi K80 Pro,Redmi,$550.00,6000,"6.67""",50,Snapdragon 8 Elite
Redmi Note 14 Pro+,Redmi,$400.00,6200,"6.67""",200,Dimensity 7350
ROG Phone 9 Pro,Asus,"$1,199.00",5800,"6.78""",50,Snapdragon 8 Elite
Motorola Edge 60 Ultra,Motorola,$999.00,5000,"6.7""",50,Snapdragon 8 Elite
Sony Xperia 1 VII,Sony,"$1,399.00",5000,"6.5""",48,Snapdragon 8 Elite
Huawei Mate 70 Pro,Huawei,"$1,200.00",5500,"6.82""",50,Kirin 9100
Honor Magic 7 Pro,Honor,"$1,100.00",5850,"6.8""",50,Snapdragon 8 Elite
ZTE Nubia Z70 Ultra,ZTE,$850.00,6000,"6.85""",50,Snapdragon 8 Elite
